epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.3103171800613405,4.2525,3.958007842968828,7.56,0.01
2,3.91142442817688,9.3925,3.5854561526935322,14.61,0.01
3,3.678329955482483,12.975,3.406660427300694,17.74,0.01
4,3.4913778854370117,16.1925,3.1340813415880784,22.91,0.01
5,3.3622253156661985,18.9075,3.0212121916274293,26.09,0.01
6,3.2532762214660647,20.8925,2.930179704111605,27.09,0.01
7,3.1670450998306277,22.23,2.8188536784138543,29.74,0.01
8,3.084503222465515,23.655,2.7307208673641705,31.28,0.01
9,3.0187184495925905,25.08,2.664868658343062,32.39,0.01
10,2.9463407799720764,26.695,2.5962410719630817,34.5,0.01
11,2.7919570377349854,29.5325,2.4360580790918855,37.73,0.005
12,2.749238038444519,30.355,2.394011240035962,38.7,0.005
13,2.6987149892807007,31.2475,2.3415769989878985,40.06,0.005
14,2.6597426299095153,32.6025,2.3556432602123714,39.12,0.005
15,2.6359846168518066,32.7375,2.2792947951216287,40.78,0.005
16,2.601584216785431,33.2,2.2690039659841372,41.45,0.005
17,2.563468072986603,34.2425,2.2149574950861095,42.31,0.005
18,2.53661750125885,34.51,2.1910075372019513,42.67,0.005
19,2.514436777496338,35.4675,2.174252929398046,43.14,0.005
20,2.4888947441101075,35.58,2.151631519817316,43.39,0.005
21,2.424599993419647,37.0175,2.0939207027514524,44.41,0.0025
22,2.398996577835083,37.56,2.057626387181754,45.68,0.0025
23,2.3838694376945497,38.055,2.0519453519449447,45.53,0.0025
24,2.354732523059845,38.28,2.047624410531772,45.59,0.0025
25,2.358792347717285,38.44,2.0228951636213846,46.19,0.0025
26,2.3358947598457336,38.875,2.009024503132025,46.49,0.0025
27,2.3241642090797425,39.205,1.9923712281754222,46.85,0.0025
28,2.303266628551483,39.7525,1.9974288959472706,46.76,0.0025
29,2.297416932678223,39.8725,1.9765371362241313,46.98,0.0025
30,2.2758643827438356,40.0675,1.9740088595368992,47.54,0.0025
31,2.263679442882538,40.025,1.952024344438181,47.74,0.00125
32,2.2423479937553408,40.795,1.933966051275357,48.13,0.00125
33,2.234382016468048,41.055,1.9212307644347413,48.57,0.00125
34,2.229217170715332,41.065,1.9191576848014855,48.65,0.00125
35,2.229249808692932,41.09,1.9133556475654578,48.58,0.00125
36,2.218883016490936,41.2425,1.905226839997898,48.55,0.00125
37,2.2123663813591,41.6675,1.9008925475251561,48.86,0.00125
38,2.2071181023597717,41.66,1.899836414919113,49.28,0.00125
39,2.192808627986908,41.9925,1.9020675980625823,48.78,0.00125
40,2.1943818649291993,42.2225,1.8868682140740343,49.04,0.00125
41,2.172856465148926,42.4425,1.8830519564235553,49.36,0.000625
42,2.172243545341492,42.505,1.871859381374079,49.57,0.000625
43,2.1730721837997438,42.265,1.8764344625198803,49.17,0.000625
44,2.161507102108002,42.415,1.8662123916248163,49.57,0.000625
45,2.165167757701874,42.425,1.8622772335625304,49.72,0.000625
46,2.157492240333557,42.5925,1.8659153335010663,49.26,0.000625
47,2.159297768688202,42.78,1.8606911749123765,49.78,0.000625
48,2.1459895944595337,42.6075,1.8555099084354436,49.77,0.000625
49,2.146309642982483,42.8125,1.8568312885662237,49.79,0.000625
50,2.145973343658447,42.7275,1.8517815388810521,49.97,0.000625
