epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.468506780052185,2.8225,4.062776232910156,7.14,0.01
2,4.126753146314621,6.685,3.801880153465271,12.43,0.01
3,3.9511994161128996,9.2375,3.614755065536499,14.94,0.01
4,3.8364124892711637,10.62,3.4600653509140016,17.69,0.01
5,3.750837709569931,11.965,3.418992495250702,18.19,0.01
6,3.6769618517637253,13.07,3.2966664704322817,20.43,0.01
7,3.616881533718109,14.135,3.24746830368042,22.01,0.01
8,3.5727590301036836,14.8925,3.147381609535217,23.74,0.01
9,3.516540444946289,15.925,3.150101293754578,23.64,0.01
10,3.4821877386808398,16.77,3.0580629108428954,25.2,0.01
11,3.373713323187828,18.6,2.9575270086288454,26.83,0.005
12,3.333767424607277,19.1875,2.9232643599510193,27.44,0.005
13,3.3078677160739898,19.775,2.869502883720398,28.52,0.005
14,3.2762497086048126,20.0025,2.858054263687134,28.32,0.005
15,3.257624430632591,20.5075,2.8380840351104735,29.4,0.005
16,3.237646347403526,21.03,2.788661399269104,30.53,0.005
17,3.2112172086000443,21.3425,2.770361474609375,30.42,0.005
18,3.187628055524826,21.865,2.716471086883545,31.7,0.005
19,3.1647902327775954,22.2275,2.7381527668952943,31.21,0.005
20,3.1578481300115584,22.165,2.695419411277771,31.76,0.005
21,3.0854785109996796,23.75,2.6435015692710877,33.28,0.0025
22,3.063408820748329,24.0675,2.6187208139419558,33.71,0.0025
23,3.0496560944080353,24.4025,2.6045678820610045,33.88,0.0025
24,3.047181870317459,24.4175,2.586547315311432,34.38,0.0025
25,3.0263168031930925,24.35,2.5700589566230776,34.62,0.0025
26,3.015240509343147,24.875,2.5764700058937073,34.84,0.0025
27,2.9986492159843445,25.1775,2.545578280735016,34.5,0.0025
28,2.99164886380434,25.3925,2.5494417971611023,35.05,0.0025
29,2.980483702039719,25.5025,2.5365666566848755,35.24,0.0025
30,2.969912902736664,25.58,2.513182372188568,35.84,0.0025
31,2.9431704584002496,26.0725,2.494853618526459,36.39,0.00125
32,2.922340846467018,26.465,2.473899990081787,36.5,0.00125
33,2.9221167194366453,26.6725,2.4704177441596986,36.65,0.00125
34,2.906694019794464,26.72,2.465285189628601,36.82,0.00125
35,2.9024481863498686,26.795,2.453514245939255,37.06,0.00125
36,2.8943909992218018,26.9775,2.449392894077301,37.27,0.00125
37,2.8824128574609755,27.5275,2.429785462331772,37.59,0.00125
38,2.86899737598896,27.6725,2.422467407131195,37.59,0.00125
39,2.873740715932846,27.505,2.436050534439087,37.47,0.00125
40,2.8670341831207273,27.685,2.4087293741226197,37.81,0.00125
41,2.853576100039482,28.06,2.3993451159000396,38.26,0.000625
42,2.848352180314064,28.1375,2.387459074354172,38.64,0.000625
43,2.845907245135307,28.0475,2.3939036452293396,38.6,0.000625
44,2.8382070003032682,27.7525,2.378218936395645,38.88,0.000625
45,2.8360731758594513,28.235,2.383906856250763,38.56,0.000625
46,2.827364789247513,28.0675,2.391050279903412,38.39,0.000625
47,2.8321602643728254,28.59,2.372847319364548,39.16,0.000625
48,2.8142954210042954,28.545,2.3668736423969268,39.01,0.000625
49,2.8289038418293,28.2925,2.3835460109233857,38.7,0.000625
50,2.814675160074234,28.7125,2.3745558381557466,38.87,0.000625
