epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.488583127530619,2.965,4.2248083790646325,5.37,0.0001
2,4.250822132768723,5.1025,4.037873669515682,8.72,0.0001
3,4.098720897881749,6.805,3.925737625435938,9.6,0.0001
4,3.987764025648562,8.05,3.789771490459201,11.89,0.0001
5,3.8926746738604465,9.3325,3.7217517955393733,12.67,0.0001
6,3.830843543092283,10.31,3.651083339618731,13.95,0.0001
7,3.7746612713359795,11.105,3.5755466177493713,15.29,0.0001
8,3.719980930748839,11.8825,3.508393670939192,16.56,0.0001
9,3.6755526271491004,12.85,3.464867845366273,16.78,0.0001
10,3.6213595052115832,13.4925,3.394419247591043,18.49,0.0001
11,3.568762926247935,14.46,3.3432388396202763,19.14,5e-05
12,3.5516135913495437,14.8225,3.3291894876504244,19.55,5e-05
13,3.518874908026796,15.4825,3.2816093813014935,20.61,5e-05
14,3.496450799722641,15.4675,3.2594532694997667,21.07,5e-05
15,3.467938768977936,16.2975,3.215445394757428,21.95,5e-05
16,3.4424400337207053,16.82,3.1768045485774175,22.71,5e-05
17,3.4244580817298766,17.2475,3.1520164254345473,23.03,5e-05
18,3.393973767186125,17.6525,3.1194477292555796,23.72,5e-05
19,3.3766860169724535,17.9125,3.093985463999495,24.35,5e-05
20,3.355029678954103,18.3175,3.0618777003469346,24.86,5e-05
21,3.3264807923533284,18.595,3.055990391139743,24.89,2.5e-05
22,3.309733595710974,19.25,3.023709822304641,25.59,2.5e-05
23,3.293729865893769,19.4575,3.019300708287879,25.66,2.5e-05
24,3.285063387106021,19.81,3.017334723774391,25.47,2.5e-05
25,3.2721757964966014,19.7025,2.9927644246741187,25.9,2.5e-05
26,3.257506968495183,20.1925,2.9869951477533654,26.12,2.5e-05
27,3.2497601547180275,20.24,2.971986290774768,26.62,2.5e-05
28,3.241031546943104,20.615,2.958202401293984,26.83,2.5e-05
29,3.230726526187251,20.4925,2.939621445498889,27.17,2.5e-05
30,3.2258557313547347,20.8625,2.9442909307117704,26.96,2.5e-05
31,3.209021022144598,21.01,2.9214764486385296,27.27,1.25e-05
32,3.201156528613057,21.195,2.917315262782423,27.58,1.25e-05
33,3.1934222040084985,21.37,2.9017703261556504,27.8,1.25e-05
34,3.1906910300635682,21.485,2.9163429103320158,27.28,1.25e-05
35,3.180616426010863,21.465,2.904866553560088,27.67,1.25e-05
36,3.1784069819953116,21.4025,2.898959111563767,27.86,1.25e-05
37,3.172225326014022,21.42,2.8871923126751864,28.07,1.25e-05
38,3.173085622513256,21.6025,2.881658321694483,28.01,1.25e-05
39,3.1668577453198905,21.62,2.871267149720011,28.28,1.25e-05
40,3.162721666665123,21.595,2.862984307204621,28.35,1.25e-05
41,3.1534297816669596,21.76,2.874254395690145,27.93,6.25e-06
42,3.147791835065848,21.7625,2.863816810559623,28.36,6.25e-06
43,3.1483282563023676,22.0,2.860557314715808,28.25,6.25e-06
44,3.146419125243117,22.1375,2.8542265288437467,28.5,6.25e-06
45,3.14881077285011,21.91,2.851366535017762,28.58,6.25e-06
46,3.1364854905551995,22.35,2.8546562738056425,28.46,6.25e-06
47,3.1383585122446664,22.36,2.856131466129158,28.6,6.25e-06
48,3.1340569269162017,22.3175,2.847900840300548,28.66,6.25e-06
49,3.1314746457547806,22.4775,2.8526838157750385,28.59,6.25e-06
50,3.1329496759957016,22.4675,2.842145355441902,28.81,6.25e-06
