epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.228197290493657,5.2825,3.9024606143371967,9.24,0.001
2,3.860356630989538,9.5,3.6342563749868657,13.45,0.001
3,3.6705535471248933,12.4225,3.422116756439209,16.96,0.001
4,3.510033633381414,15.0775,3.2535673576065256,20.71,0.001
5,3.34449682906032,17.9975,3.067598173889933,23.82,0.001
6,3.212935016558955,20.3325,2.9423577574234976,26.56,0.001
7,3.0981705561994364,22.4375,2.8384378982495657,28.19,0.001
8,3.002068924065977,24.1175,2.772625029841556,28.9,0.001
9,2.921536935404086,25.8025,2.65297399593305,31.75,0.001
10,2.8415651161449786,27.4325,2.517657732661766,34.05,0.001
11,2.7150235617884433,29.895,2.4316326817379723,36.49,0.0005
12,2.664880807407367,30.765,2.3876049760021743,37.84,0.0005
13,2.6249115284258564,31.76,2.3291697954829735,38.74,0.0005
14,2.5916669543939657,32.3825,2.333459178103676,38.43,0.0005
15,2.5493200632710806,33.115,2.2677201741858375,39.98,0.0005
16,2.520502096547867,33.865,2.2311807116375695,40.83,0.0005
17,2.4773993492126465,34.7075,2.20009248769736,41.2,0.0005
18,2.4425392272754216,35.67,2.157686299915555,42.63,0.0005
19,2.423279364649861,35.9825,2.1211690525465374,42.88,0.0005
20,2.3948273228380246,36.7025,2.097458333908757,43.77,0.0005
21,2.3314461749963487,37.99,2.0591440623319603,44.93,0.00025
22,2.3137413769865187,38.4475,2.0429545972920673,44.75,0.00025
23,2.291615815970083,38.8975,2.012725363803815,45.78,0.00025
24,2.272933395906759,39.44,2.00546427768997,46.03,0.00025
25,2.2569381528007337,39.515,1.990167343163792,46.13,0.00025
26,2.2446004597904583,39.915,1.9852949395964417,46.68,0.00025
27,2.227784097385102,40.3075,1.9476385795617406,46.94,0.00025
28,2.218239652843902,40.2375,1.9523461513881442,47.53,0.00025
29,2.2031970606825224,40.5725,1.9426248405553117,47.49,0.00025
30,2.1938123139329613,40.945,1.920239685456964,47.83,0.00025
31,2.1602775056522114,41.795,1.8969307292865802,47.98,0.000125
32,2.1427009391327636,42.035,1.8895343949523153,48.23,0.000125
33,2.136552310599306,42.13,1.878523502168776,48.75,0.000125
34,2.1327781940039734,42.655,1.8723990328704254,48.84,0.000125
35,2.121046354976325,42.6125,1.8804805867279633,48.67,0.000125
36,2.1199539210468816,42.615,1.862064877642861,49.08,0.000125
37,2.108217604244098,42.88,1.8611195072343079,49.09,0.000125
38,2.1037300341426373,43.29,1.8495968731143806,49.51,0.000125
39,2.10785820727912,42.845,1.8587548551680166,49.14,0.000125
40,2.0860354896551505,43.44,1.8421008269998091,49.5,0.000125
41,2.079721909742386,43.5025,1.8294817737386198,50.05,6.25e-05
42,2.0648535192964936,43.995,1.8251159191131592,50.08,6.25e-05
43,2.0792678986875393,43.5725,1.8307747554175462,49.94,6.25e-05
44,2.0610585349817248,44.395,1.8204729119433631,50.26,6.25e-05
45,2.0609739988375777,44.0975,1.8111240773261348,50.53,6.25e-05
46,2.061193621577546,44.28,1.818903161000602,49.9,6.25e-05
47,2.055027278467489,44.1325,1.8156167796895475,50.4,6.25e-05
48,2.0492391254955207,44.6225,1.806982532332215,50.51,6.25e-05
49,2.0438720490604925,44.28,1.8113769911512543,50.31,6.25e-05
50,2.0441941502756964,44.4125,1.8004229295102856,50.6,6.25e-05
