epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.269864501571655,4.66,3.8985137939453125,8.79,0.01
2,3.876798107147217,9.6275,3.6037699416944178,15.34,0.01
3,3.653647853088379,13.4525,3.3694265739173646,18.48,0.01
4,3.458418419647217,16.695,3.165103737715703,22.49,0.01
5,3.2862630100250243,20.365,2.989350789671491,26.5,0.01
6,3.120936918258667,23.1425,2.8287645282259413,29.29,0.01
7,2.9960861976623536,25.3575,2.665051265886635,32.24,0.01
8,2.8640037334442137,27.665,2.5796057813486475,33.9,0.01
9,2.775314404296875,29.7425,2.451479200344936,37.41,0.01
10,2.67721693649292,31.485,2.3123967586808902,39.72,0.01
11,2.516988253593445,34.7325,2.182473602568268,43.02,0.005
12,2.4391314050674437,36.4175,2.139417874585291,43.47,0.005
13,2.41249360370636,37.005,2.0895926648644125,44.56,0.005
14,2.37106066532135,37.785,2.086530677831856,44.87,0.005
15,2.3304528522491457,38.72,2.0327147738948748,46.09,0.005
16,2.29335109539032,39.4725,1.9958485736968412,46.69,0.005
17,2.2689646909713743,40.2775,1.9617861539694914,47.38,0.005
18,2.2341964221954345,40.88,1.963052360874832,47.31,0.005
19,2.2151497106552123,41.09,1.9293398743222474,48.07,0.005
20,2.186360780906677,41.5925,1.91579155633404,48.21,0.005
21,2.114510564804077,43.275,1.8445296530510968,49.92,0.0025
22,2.0832006538391115,44.1675,1.8101279697600443,50.48,0.0025
23,2.0676426862716677,44.655,1.8079155083674534,50.61,0.0025
24,2.044593379974365,44.9325,1.8017338635815177,51.09,0.0025
25,2.036688884925842,45.25,1.7827408685805692,51.61,0.0025
26,2.0197776876449587,45.1875,1.7679969406431648,51.82,0.0025
27,2.011953095817566,45.7425,1.7547112141445185,51.94,0.0025
28,1.9987802240371704,45.9475,1.7678180393899323,51.76,0.0025
29,1.986972487449646,46.12,1.7405368127640646,52.48,0.0025
30,1.9764649044036866,46.3975,1.7290825669173222,52.44,0.0025
31,1.9304619960784912,47.2125,1.7026865171019439,52.94,0.00125
32,1.9215774929046632,47.62,1.694878204612975,53.29,0.00125
33,1.914127325439453,47.78,1.6962726336375924,53.56,0.00125
34,1.901143867111206,48.04,1.688448893036812,53.39,0.00125
35,1.8975715587615967,48.42,1.689126898528664,53.36,0.00125
36,1.886838452720642,48.13,1.6830591775809125,53.75,0.00125
37,1.8749918207168579,48.8225,1.6685160026428805,53.6,0.00125
38,1.8770957778930664,48.5725,1.6709869424248958,53.96,0.00125
39,1.8757239269256591,48.605,1.6764633291086573,53.94,0.00125
40,1.8685775398254394,48.9425,1.6677974052489943,54.06,0.00125
41,1.853124937438965,49.05,1.6509757208976017,54.46,0.000625
42,1.8406065216064453,49.59,1.6469774405667736,54.66,0.000625
43,1.8468708528518676,49.3975,1.655640510237141,54.48,0.000625
44,1.8364420351028443,49.565,1.645350488887471,54.59,0.000625
45,1.8446943338394166,49.4525,1.6384031157584706,54.71,0.000625
46,1.8257530963897706,49.8875,1.6386177615754922,54.65,0.000625
47,1.8309325284957885,49.7875,1.6396212107057024,54.76,0.000625
48,1.8237954635620117,49.8275,1.6345857009766207,55.17,0.000625
49,1.8146775733947753,50.1025,1.6385477325718873,54.66,0.000625
50,1.8115928989410401,50.245,1.6332594786479975,54.78,0.000625
